iter	Passed	Remaining
210	2561	9579
211	2575	9574
212	2589	9568
213	2602	9557
214	2614	9547
215	2627	9537
216	2641	9531
217	2654	9520
218	2666	9510
219	2679	9499
220	2691	9488
221	2705	9482
222	2718	9471
223	2731	9462
224	2744	9452
225	2756	9441
226	2769	9430
227	2783	9423
228	2795	9413
229	2808	9403
230	2821	9391
231	2833	9381
232	2847	9374
233	2860	9363
234	2873	9353
235	2885	9342
236	2898	9331
237	2912	9325
238	2927	9320
239	2939	9309
240	2952	9298
241	2969	9302
242	2986	9302
243	2998	9291
244	3011	9281
245	3024	9270
246	3038	9263
247	3051	9253
248	3064	9243
249	3077	9232
250	3090	9222
251	3104	9214
252	3117	9204
253	3130	9194
254	3143	9182
255	3155	9171
256	3169	9162
257	3181	9151
258	3194	9140
259	3207	9128
260	3220	9117
261	3232	9105
262	3246	9097
263	3259	9086
264	3271	9074
265	3284	9063
266	3297	9051
267	3311	9043
268	3324	9033
269	3337	9022
270	3349	9011
271	3362	8999
272	3376	8991
273	3389	8981
274	3402	8970
275	3415	8958
276	3427	8946
277	3440	8935
278	3452	8922
279	3465	8911
280	3479	8902
281	3491	8890
282	3504	8879
283	3517	8868
284	3530	8856
285	3542	8844
286	3555	8831
287	3568	8823
288	3581	8811
289	3595	8802
290	3607	8790
291	3620	8778
292	3633	8767
293	3647	8758
294	3659	8745
295	3672	8734
296	3684	8722
297	3697	8710
298	3709	8697
299	3722	8685
300	3734	8673
301	3747	8661
302	3760	8649
303	3773	8640
304	3786	8628
305	3799	8616
306	3811	8604
307	3824	8592
308	3838	8582
309	3850	8571
310	3863	8559
311	3875	8547
312	3888	8534
313	3904	8529
314	3922	8530
315	3937	8523
316	3950	8511
317	3963	8500
318	3977	8490
319	3990	8479
320	4003	8468
321	4016	8456
322	4030	8447
323	4043	8436
324	4056	8424
325	4068	8411
326	4081	8399
327	4093	8386
328	4107	8376
329	4120	8364
330	4132	8352
331	4145	8340
332	4157	8328
333	4171	8318
334	4184	8306
335	4197	8295
336	4210	8283
337	4223	8271
338	4237	8261
339	4249	8249
340	4263	8238
341	4275	8226
342	4288	8214
343	4302	8204
344	4315	8193
345	4328	8181
346	4340	8169
347	4353	8156
348	4367	8146
349	4379	8134
350	4392	8122
351	4405	8109
352	4418	8097
353	4430	8085
354	4443	8072
355	4455	8060
356	4468	8048
357	4482	8038
358	4495	8027
359	4508	8015
360	4521	8003
361	4534	7990
362	4546	7978
363	4559	7966
364	4573	7955
365	4586	7944
366	4600	7934
367	4613	7923
368	4626	7911
369	4640	7900
370	4653	7889
371	4666	7877
372	4679	7865
373	4692	7853
374	4705	7842
375	4717	7829
376	4730	7817
377	4743	7805
378	4756	7793
379	4768	7780
380	4782	7769
381	4794	7757
382	4807	7745
383	4820	7732
384	4833	7720
385	4847	7710
386	4860	7698
387	4873	7686
388	4885	7674
389	4898	7662
390	4912	7651
391	4925	7639
392	4940	7631
393	4953	7619
394	4974	7619
395	4988	7608
396	5000	7595
397	5013	7583
398	5025	7570
399	5039	7559
400	5052	7546
401	5064	7534
402	5077	7521
403	5090	7510
404	5104	7499
405	5118	7487
406	5131	7475
407	5143	7463
408	5157	7451
409	5171	7441
410	5184	7429
411	5197	7417
412	5210	7405
413	5223	7393
414	5237	7382
415	5250	7370
416	5262	7357
417	5275	7345
418	5288	7333
419	5302	7322
420	5315	7310
421	5328	7297
422	5340	7285
423	5353	7272
424	5365	7259
425	5379	7248
426	5392	7236
427	5405	7224
428	5418	7212
429	5431	7200
430	5444	7187
431	5457	7175
432	5470	7163
433	5483	7151
434	5496	7138
435	5508	7126
436	5521	7113
437	5533	7100
438	5546	7088
439	5559	7075
440	5571	7062
441	5584	7049
442	5598	7038
443	5610	7026
444	5624	7015
445	5637	7002
446	5650	6989
447	5663	6978
448	5676	6965
449	5689	6953
450	5701	6940
451	5714	6927
452	5726	6914
453	5739	6902
454	5751	6889
455	5764	6876
456	5776	6863
457	5788	6850
458	5802	6839
459	5815	6826
460	5828	6814
461	5840	6801
462	5853	6788
463	5866	6777
464	5880	6765
465	5892	6752
466	5912	6747
467	5927	6737
468	5941	6727
469	5954	6714
470	5967	6701
471	5979	6688
472	5992	6676
473	6005	6664
474	6018	6652
475	6031	6639
476	6043	6626
477	6056	6614
478	6070	6603
479	6083	6590
480	6096	6578
481	6109	6565
482	6122	6553
483	6135	6541
484	6148	6528
485	6160	6515
486	6173	6503
487	6185	6490
488	6199	6478
489	6212	6465
490	6224	6453
491	6237	6440
492	6249	6427
493	6263	6415
494	6275	6402
495	6288	6390
496	6301	6377
497	6314	6364
498	6327	6353
499	6341	6341
500	6354	6329
501	6367	6316
502	6380	6304
503	6393	6292
504	6406	6279
505	6419	6267
506	6432	6254
507	6444	6241
508	6457	6229
509	6471	6217
510	6484	6205
511	6497	6192
512	6509	6180
513	6522	6167
514	6535	6154
515	6547	6141
516	6560	6128
517	6574	6117
518	6587	6105
519	6600	6092
520	6613	6080
521	6626	6067
522	6639	6055
523	6652	6043
524	6665	6030
525	6677	6017
526	6690	6004
527	6702	5991
528	6715	5979
529	6727	5966
530	6740	5953
531	6753	5940
532	6765	5927
533	6779	5916
534	6792	5903
535	6805	5890
536	6817	5878
537	6830	5865
538	6843	5853
539	6856	5840
540	6869	5828
541	6881	5815
542	6894	5802
543	6908	5790
544	6921	5778
545	6934	5765
546	6949	5755
547	6964	5744
548	6982	5736
549	6995	5723
550	7008	5710
551	7020	5698
552	7033	5685
553	7047	5673
554	7060	5660
555	7072	5648
556	7085	5635
557	7098	5622
558	7112	5611
559	7125	5598
560	7138	5586
561	7151	5573
562	7164	5560
563	7176	5548
564	7190	5536
565	7203	5523
566	7215	5510
567	7228	5497
568	7241	5484
569	7255	5473
570	7268	5460
571	7281	5448
572	7294	5435
573	7306	5422
574	7320	5410
575	7333	5398
576	7346	5386
577	7359	5373
578	7372	5360
579	7386	5348
580	7399	5336
581	7412	5323
582	7425	5310
583	7437	5297
584	7450	5285
585	7462	5272
586	7475	5259
587	7487	5246
588	7500	5233
589	7513	5221
590	7526	5208
591	7539	5195
592	7551	5182
593	7564	5170
594	7578	5158
595	7591	5146
596	7604	5133
597	7619	5121
598	7632	5109
599	7646	5097
600	7659	5084
601	7672	5072
602	7684	5059
603	7697	5046
604	7711	5034
605	7724	5022
606	7737	5009
607	7750	4996
608	7763	4984
609	7777	4972
610	7790	4959
611	7803	4947
612	7816	4934
613	7829	4921
614	7843	4910
615	7856	4897
616	7870	4885
617	7884	4873
618	7896	4860
619	7912	4849
620	7928	4838
621	7943	4827
622	7956	4814
623	7969	4802
624	7983	4790
625	7997	4777
626	8010	4765
627	8023	4752
628	8037	4740
629	8050	4728
630	8063	4715
631	8076	4702
632	8089	4689
633	8101	4676
634	8115	4664
635	8128	4652
636	8141	4639
637	8154	4626
638	8166	4613
639	8180	4601
640	8193	4588
641	8205	4575
642	8218	4562
643	8230	4549
644	8244	4537
645	8257	4524
646	8270	4512
647	8282	4499
648	8295	4486
649	8309	4474
650	8321	4461
651	8334	4448
652	8347	4435
653	8359	4422
654	8373	4410
655	8386	4397
656	8399	4384
657	8412	4372
658	8424	4359
659	8437	4346
660	8450	4333
661	8462	4320
662	8475	4307
663	8488	4295
664	8501	4282
665	8513	4269
666	8526	4256
667	8538	4243
668	8551	4230
669	8565	4218
670	8578	4205
671	8590	4193
672	8604	4180
673	8617	4167
674	8630	4155
675	8644	4143
676	8656	4130
677	8669	4117
678	8681	4104
679	8694	4091
680	8708	4079
681	8721	4066
682	8733	4053
683	8747	4041
684	8759	4028
685	8773	4016
686	8786	4003
687	8799	3990
688	8813	3978
689	8825	3965
690	8839	3952
691	8852	3939
692	8864	3927
693	8877	3914
694	8890	3901
695	8904	3889
696	8917	3876
697	8930	3863
698	8943	3851
699	8956	3838
700	8978	3829
701	8991	3817
702	9004	3804
703	9017	3791
704	9031	3779
705	9045	3766
706	9057	3753
707	9070	3741
708	9083	3728
709	9097	3715
710	9110	3702
711	9122	3690
712	9135	3677
713	9148	3664
714	9160	3651
715	9174	3639
716	9187	3626
717	9199	3613
718	9212	3600
719	9225	3587
720	9238	3575
721	9251	3562
722	9264	3549
723	9277	3536
724	9289	3523
725	9303	3511
726	9316	3498
727	9328	3485
728	9341	3472
729	9354	3459
730	9368	3447
731	9380	3434
732	9393	3421
733	9406	3408
734	9418	3395
735	9431	3383
736	9444	3370
737	9456	3357
738	9469	3344
739	9483	3332
740	9496	3319
741	9510	3306
742	9523	3294
743	9536	3281
744	9549	3268
745	9562	3255
746	9576	3243
747	9589	3230
748	9602	3218
749	9615	3205
750	9628	3192
751	9642	3179
752	9655	3167
753	9667	3154
754	9680	3141
755	9693	3128
756	9705	3115
757	9718	3102
758	9731	3089
759	9744	3077
760	9756	3064
761	9769	3051
762	9783	3038
763	9795	3025
764	9808	3013
765	9821	3000
766	9833	2987
767	9847	2974
768	9859	2961
769	9872	2948
770	9885	2936
771	9897	2923
772	9914	2911
773	9930	2899
774	9945	2887
775	9958	2874
776	9970	2861
777	9984	2849
778	9997	2836
779	10010	2823
780	10023	2810
781	10035	2797
782	10049	2785
783	10061	2772
784	10074	2759
785	10086	2746
786	10099	2733
787	10113	2720
788	10126	2707
789	10138	2695
790	10151	2682
791	10163	2669
792	10177	2656
793	10190	2643
794	10203	2631
795	10216	2618
796	10229	2605
797	10242	2592
798	10255	2579
799	10268	2567
800	10281	2554
801	10293	2541
802	10307	2528
803	10319	2515
804	10332	2502
805	10345	2490
806	10358	2477
807	10371	2464
808	10384	2451
809	10397	2438
810	10409	2425
811	10422	2413
812	10435	2400
813	10447	2387
814	10460	2374
815	10472	2361
816	10485	2348
817	10498	2335
818	10510	2322
819	10523	2310
820	10535	2297
821	10548	2284
822	10563	2271
823	10575	2258
824	10589	2246
825	10602	2233
826	10615	2220
827	10628	2207
828	10642	2195
829	10654	2182
830	10667	2169
831	10680	2156
832	10692	2143
833	10706	2131
834	10718	2118
835	10731	2105
836	10744	2092
837	10757	2079
838	10771	2066
839	10783	2054
840	10796	2041
841	10809	2028
842	10821	2015
843	10835	2002
844	10848	1989
845	10861	1977
846	10874	1964
847	10887	1951
848	10901	1938
849	10914	1926
850	10927	1913
851	10940	1900
852	10952	1887
853	10971	1875
854	10988	1863
855	11001	1850
856	11013	1837
857	11026	1824
858	11040	1812
859	11053	1799
860	11065	1786
861	11079	1773
862	11091	1760
863	11105	1748
864	11118	1735
865	11131	1722
866	11143	1709
867	11156	1696
868	11170	1683
869	11183	1671
870	11195	1658
871	11208	1645
872	11221	1632
873	11234	1619
874	11247	1606
875	11260	1593
876	11272	1581
877	11285	1568
878	11300	1555
879	11312	1542
880	11325	1529
881	11338	1516
882	11350	1504
883	11364	1491
884	11377	1478
885	11390	1465
886	11403	1452
887	11416	1439
888	11429	1427
889	11442	1414
890	11454	1401
891	11467	1388
892	11481	1375
893	11494	1362
894	11506	1349
895	11519	1337
896	11532	1324
897	11545	1311
898	11557	1298
899	11570	1285
900	11584	1272
901	11597	1259
902	11611	1247
903	11624	1234
904	11636	1221
905	11649	1208
906	11663	1195
907	11676	1183
908	11689	1170
909	11702	1157
910	11715	1144
911	11729	1131
912	11742	1118
913	11755	1106
914	11768	1093
915	11781	1080
916	11795	1067
917	11808	1054
918	11821	1041
919	11834	1029
920	11847	1016
921	11861	1003
922	11874	990
923	11887	977
924	11900	964
925	11919	952
926	11935	939
927	11948	927
928	11960	914
929	11973	901
930	11987	888
931	12000	875
932	12013	862
933	12026	849
934	12039	836
935	12053	824
936	12066	811
937	12079	798
938	12092	785
939	12104	772
940	12118	759
941	12131	746
942	12144	734
943	12156	721
944	12169	708
945	12183	695
946	12195	682
947	12208	669
948	12221	656
949	12234	643
950	12247	631
951	12261	618
952	12273	605
953	12286	592
954	12299	579
955	12311	566
956	12325	553
957	12338	540
958	12351	528
959	12363	515
960	12376	502
961	12389	489
962	12402	476
963	12415	463
964	12428	450
965	12440	437
966	12453	424
967	12466	412
968	12478	399
969	12491	386
970	12503	373
971	12516	360
972	12528	347
973	12541	334
974	12554	321
975	12568	309
976	12581	296
977	12595	283
978	12608	270
979	12620	257
980	12634	244
981	12646	231
982	12659	218
983	12672	206
984	12684	193
985	12697	180
986	12709	167
987	12722	154
988	12735	141
989	12748	128
990	12760	115
991	12774	103
992	12787	90
993	12799	77
994	12812	64
995	12825	51
996	12839	38
997	12851	25
998	12864	12
999	12877	0
