iter	Logloss
0	0.6210716968
1	0.5616930914
2	0.5103214384
3	0.4652571785
4	0.4306038509
5	0.3994238995
6	0.3717352597
7	0.3412267408
8	0.3200587511
9	0.3010366002
10	0.2836747977
11	0.2643718577
12	0.251725021
13	0.2419860016
14	0.2319998677
15	0.2202468712
16	0.2135950915
17	0.2072210584
18	0.1987696109
19	0.1934581797
20	0.1877477552
21	0.1838547508
22	0.1787291931
23	0.1755046702
24	0.1715353261
25	0.1679066396
26	0.163847756
27	0.1610233015
28	0.1587339684
29	0.1572118985
30	0.1552806551
31	0.1530739986
32	0.1518932154
33	0.1497619263
34	0.1486808056
35	0.1470819385
36	0.145441081
37	0.1440402807
38	0.1433855597
39	0.1419667211
40	0.1411921374
41	0.1401300731
42	0.139212361
43	0.136921152
44	0.1362338316
45	0.1356184243
46	0.1345283245
47	0.132998568
48	0.132764699
49	0.1315886628
50	0.1310624976
51	0.1298820004
52	0.1290235848
53	0.12805933
54	0.1265397651
55	0.1255625392
56	0.1245900602
57	0.1236601777
58	0.1230673268
59	0.1220907872
60	0.1210869556
61	0.1204124805
62	0.1184338937
63	0.117631
64	0.1170417294
65	0.1162584525
66	0.1155947066
67	0.1155255273
68	0.114328902
69	0.1138344097
70	0.1129548103
71	0.1122332777
72	0.1107109104
73	0.1099961494
74	0.1087567216
75	0.1075242484
76	0.1066917637
77	0.1056006344
78	0.1047807319
79	0.104586108
80	0.103993646
81	0.1031878241
82	0.1019601893
83	0.1015232664
84	0.1004857602
85	0.09987989251
86	0.09913980693
87	0.0982394583
88	0.09734988463
89	0.09643878393
90	0.09606773457
91	0.0953582695
92	0.09481411752
93	0.09437992262
94	0.09397110946
95	0.09354623111
96	0.09278812437
97	0.0925413758
98	0.09212457294
99	0.09127233411
100	0.09032556857
101	0.08994762186
102	0.08965824247
103	0.08872435654
104	0.08763596679
105	0.08680647317
106	0.08635377098
107	0.08572812059
108	0.08495818657
109	0.08407509273
110	0.08402026861
111	0.08373874167
112	0.08315056911
113	0.08229298856
114	0.08191789573
115	0.08135494478
116	0.08097740414
117	0.08051850235
118	0.07974009249
119	0.07940533136
